Date,GAZP
2020-10-01,161.21168518066406
2020-10-02,162.21693420410156
2020-10-05,162.6477508544922
2020-10-06,165.1082000732422
2020-10-07,160.6468505859375
2020-10-08,159.93838500976562
2020-10-09,160.1681671142578
2020-10-12,161.84356689453125
2020-10-13,159.10548400878906
2020-10-14,159.9192352294922
2020-10-15,159.9192352294922
2020-10-16,159.9192352294922
2020-10-19,156.93223571777344
2020-10-20,159.2299346923828
2020-10-21,157.267333984375
2020-10-22,158.10980224609375
2020-10-23,157.71730041503906
2020-10-26,154.83560180664062
2020-10-27,152.11666870117188
2020-10-28,148.30633544921875
2020-10-29,149.3785858154297
2020-10-30,148.1627197265625
2020-11-02,150.80506896972656
2020-11-03,153.54315185546875
2020-11-05,157.25775146484375
2020-11-06,157.53538513183594
2020-11-09,163.13600158691406
