No,Date,GAZP
165,2020-09-01,176.06051635742188
166,2020-09-02,174.23194885253906
167,2020-09-03,172.22145080566406
168,2020-09-04,171.16835021972656
169,2020-09-07,169.79931640625
170,2020-09-08,165.7879180908203
171,2020-09-09,165.73048400878906
172,2020-09-10,166.9272003173828
173,2020-09-11,170.3067169189453
174,2020-09-14,170.4790496826172
175,2020-09-15,174.9116668701172
176,2020-09-16,175.5531005859375
177,2020-09-17,175.88818359375
178,2020-09-18,174.38511657714844
179,2020-09-21,168.64088439941406
180,2020-09-22,171.23536682128906
181,2020-09-23,170.07693481445312
182,2020-09-24,168.7557830810547
183,2020-09-25,165.12733459472656
184,2020-09-28,164.8114013671875
185,2020-09-29,163.75830078125
186,2020-09-30,164.0646514892578
187,2020-10-01,161.21168518066406
188,2020-10-02,162.21693420410156
